订单号,订单状态,商品数量(件),支付时间,确认收货时间,商品id,商品规格,售后状态,用户实付金额(元),商家实收金额(元),快递单号,快递公司,省,市,区,订单来源
260920-357129316791246,待发货,1	,2026-09-20 22:53:38,	,639505652129	,铸铁复古钥匙风铃  白色,无售后或售后取消,39.0	,39.0	,	,	,广东省,佛山市,南海区,	
260920-071491939883435,待发货,1	,2026-09-20 19:09:13,	,279332337016	,壁挂款黑色 萌猫 一个装,无售后或售后取消,12.6	,12.6	,	,	,河南省,商丘市,宁陵县,	
260919-592581772872799,已发货，待收货,1	,2026-09-19 20:55:30,	,279332337016	,壁挂款黑色 萌猫 一个装,无售后或售后取消,9.6	,12.6	,79142731704827	,中通快递,广西壮族自治区,柳州市,柳南区,	
260917-138370096662984,已收货,1	,2026-09-17 22:47:21,2026-09-20 08:32:07,357468879381	,无痕子母扣【10对装】,无售后或售后取消,9.71	,9.71	,79142120176390	,中通快递,****,****,****,	
260916-429643538071895,已发货，待收货,1	,2026-09-16 20:47:08,	,504210396009	,日月创意门挂 黑色,无售后或售后取消,8.72	,8.72	,79141766978556	,中通快递,甘肃省,陇南市,武都区,	
260916-230896515370499,已发货，待收货,1	,2026-09-16 12:14:05,	,279332337016	,萌猫 挂钩黑色款 二个装,无售后或售后取消,20.0	,20.0	,79141423548123	,中通快递,四川省,泸州市,叙永县,	
260915-196356380223996,已收货,1	,2026-09-15 20:36:02,2026-09-19 22:10:09,279332337016	,壁挂款黑色 萌猫 一个装,无售后或售后取消,12.6	,12.6	,79141423828549	,中通快递,****,****,****,	
260910-327931738462326,已收货,1	,2026-09-10 21:07:31,2026-09-21 10:02:48,545612332125	,"铁艺五连钩 黑色,1个装",无售后或售后取消,5.9	,5.9	,79139736564096	,中通快递,****,****,****,	
260907-301360791960613,已收货,1	,2026-09-07 21:40:45,2026-09-18 15:19:27,279332337016	,壁挂款古铜 萌猫 一个装,无售后或售后取消,12.6	,12.6	,79138960094896	,中通快递,****,****,****,	
260905-522285248070773,已收货,1	,2026-09-05 09:59:32,2026-09-15 15:56:00,561841481774	,猫兔挂钩 黑色 配贴片,无售后或售后取消,23.28	,23.28	,79137966817212	,中通快递,****,****,****,	
260903-610701228372717,已收货,1	,2026-09-03 10:36:07,2026-09-13 15:16:39,639505652129	,铸铁复古钥匙风铃  白色,无售后或售后取消,39.0	,39.0	,79137355444621	,中通快递,****,****,****,	
260826-579621394030326,已收货,1	,2026-08-26 07:43:42,2026-09-05 15:49:05,279332337016	,萌猫 挂钩 黑色 一个装,无售后或售后取消,12.4	,12.4	,79134725341041	,中通快递,****,****,****,	
260823-139376760431891,已收货,2	,2026-08-23 11:29:51,2026-09-07 15:46:34,279332337016	,壁挂款黑色 萌猫 一个装,无售后或售后取消,23.94	,23.94	,79133755786251	,中通快递,****,****,****,	
260820-054158999891325,已收货,1	,2026-08-20 09:05:05,2026-08-30 15:32:57,279332337016	,壁挂款黑色 萌猫 一个装,无售后或售后取消,12.6	,12.6	,79132941388428	,中通快递,****,****,****,	
260818-022229870884084,已收货,1	,2026-08-18 21:57:42,2026-09-09 11:24:27,279332337016	,壁挂款黑色 萌猫 一个装,无售后或售后取消,12.6	,12.6	,79132584825720	,中通快递,****,****,****,	
260818-200414400880295,未发货，退款成功,1	,2026-08-18 11:59:53,	,279332337016	,壁挂款白色 萌猫 一个装,退款成功,12.6	,12.6	,	,	,****,****,****,	
260817-025637732750027,已收货,1	,2026-08-17 16:11:34,2026-08-28 14:28:47,279332337016	,壁挂款黑色 萌猫 一个装,无售后或售后取消,12.6	,12.6	,79132341733016	,中通快递,****,****,****,	
260812-677170461101387,已收货,2	,2026-08-12 23:32:01,2026-08-24 10:56:46,279332337016	,壁挂款古铜 萌猫 一个装,无售后或售后取消,23.94	,23.94	,79131108267273	,中通快递,****,****,****,	
260812-582735706540620,已收货,1	,2026-08-12 20:32:03,2026-08-24 10:56:46,504210396009	,日月创意门挂 白色,无售后或售后取消,8.72	,8.72	,79131108270742	,中通快递,****,****,****,	
260809-232238672192070,已收货,1	,2026-08-09 20:34:00,2026-08-20 15:44:10,279332337016	,壁挂款黑色 萌猫 一个装,无售后或售后取消,12.6	,12.6	,79130082053306	,中通快递,****,****,****,	
260809-163829584240478,已收货,2	,2026-08-09 12:51:59,2026-08-12 15:58:51,279332337016	,壁挂款黑色 萌猫 一个装,无售后或售后取消,23.94	,23.94	,79129800515924	,中通快递,****,****,****,	
260807-298728866092932,已收货,1	,2026-08-07 22:41:31,2026-08-19 15:57:55,577848362935	,欢迎铸铁门铃 做旧白色,无售后或售后取消,85.12	,85.12	,79024414738776	,中通快递,****,****,****,	
260804-660969951613531,已收货，退款成功,1	,2026-08-04 23:22:40,2026-08-15 15:44:25,279332337016	,壁挂款古铜 萌猫 一个装,退款成功,12.6	,12.6	,79128694227452	,中通快递,****,****,****,	
260804-292301074031261,未发货，退款成功,1	,2026-08-04 02:59:53,	,502042780546	,"做旧白色,花园仙女小椅子大号",退款成功,46.51	,46.51	,	,	,****,****,****,	
260727-656670748292757,已收货,1	,2026-07-27 07:51:17,2026-08-06 15:15:24,279332337016	,壁挂款白色 萌猫 一个装,无售后或售后取消,12.6	,12.6	,79126120232916	,中通快递,****,****,****,	
260726-298739310160041,已收货,1	,2026-07-26 11:54:26,2026-08-05 15:39:26,639505652129	,铸铁复古钥匙风铃  白色,无售后或售后取消,39.0	,39.0	,79125852813082	,中通快递,****,****,****,	
260719-594985633401985,已收货,1	,2026-07-19 23:04:46,2026-07-25 13:26:08,279332337016	,壁挂款古铜 萌猫 一个装,无售后或售后取消,12.6	,12.6	,79124377745667	,中通快递,****,****,****,	
260719-199696105863279,已收货,1	,2026-07-19 20:35:36,2026-07-24 08:23:07,545612332125	,"铁艺五连钩 黑色,2个装",无售后或售后取消,5.85	,9.8	,79124377732416	,中通快递,****,****,****,	
260719-128329981452435,已收货，退款成功,1	,2026-07-19 16:16:13,2026-07-27 12:01:04,279332337016	,萌猫 挂钩白色款 二个装,退款成功,20.0	,20.0	,79124377756185	,中通快递,****,****,****,	
260707-308910497412757,已收货,1	,2026-07-07 14:37:08,2026-07-17 15:34:57,279332337016	,壁挂款白色 萌猫 一个装,无售后或售后取消,12.6	,12.6	,79120339381116	,中通快递,****,****,****,	
260707-594930572870417,已收货,1	,2026-07-07 12:09:11,2026-07-10 08:06:50,279332337016	,壁挂款白色 萌猫 一个装,无售后或售后取消,11.97	,12.6	,79120339396655	,中通快递,****,****,****,	
260706-199900578182271,已收货,1	,2026-07-06 23:05:54,2026-07-09 20:04:48,545612332125	,"铁艺五连钩 黑色,1个装",无售后或售后取消,5.84	,5.84	,79120339386273	,中通快递,****,****,****,	
260705-268183867810376,已收货,2	,2026-07-05 07:07:26,2026-07-15 14:26:55,279332337016	,壁挂款古铜 萌猫 一个装,无售后或售后取消,23.94	,23.94	,79119770554309	,中通快递,****,****,****,	
260702-557842512281440,已收货,1	,2026-07-02 06:16:00,2026-07-11 06:42:22,282862466902	,白色 萌猫 七钩 二个装,无售后或售后取消,20.08	,20.08	,79118887843567	,中通快递,****,****,****,	
260629-421653399060308,已收货,1	,2026-06-29 15:23:42,2026-07-03 23:49:02,282862466902	,古铜色 淘气猫 (新款)【2个装】,无售后或售后取消,17.45	,17.45	,79118636007766	,中通快递,****,****,****,	
260629-382195484180308,已取消,1	,	,	,282862466902	,古铜色 淘气猫 (新款)【2个装】,无售后或售后取消,17.45	,17.45	,	,	,****,****,****,	
260629-392335214151557,已收货，退款成功,1	,2026-06-29 10:48:38,2026-07-05 11:05:46,279332337016	,壁挂款古铜 萌猫 一个装,退款成功,12.6	,12.6	,79118055661946	,中通快递,****,****,****,	
260625-483078991371898,已收货,1	,2026-06-25 21:21:58,2026-06-30 00:31:03,376427340173	,七钩 白色 加厚加粗（1个装）,无售后或售后取消,10.97	,10.97	,79117268437549	,中通快递,****,****,****,	
260623-604021789071129,已取消,1	,	,	,282862466902	,七钩古铜；一个,无售后或售后取消,8.32	,11.32	,	,	,****,****,****,	
